timestamp,x,y
0.000,805,538
0.009,805,538
0.017,805,538
0.025,805,538
0.034,805,538
0.042,805,538
0.050,805,538
0.059,805,538
0.067,805,538
0.076,805,538
0.084,805,538
0.092,805,538
0.101,805,538
0.109,805,538
0.117,805,538
0.126,805,538
0.134,805,538
0.143,805,538
0.152,805,538
0.160,805,538
0.168,805,538
0.177,805,538
0.185,805,538
0.193,805,538
0.201,805,538
0.210,805,538
0.218,805,538
0.226,805,538
0.234,805,538
0.243,805,538
0.252,805,538
0.260,805,538
0.269,805,538
0.277,805,538
0.285,805,538
0.294,805,538
0.303,805,538
0.311,805,538
0.319,805,538
0.327,805,538
0.336,805,538
0.344,805,538
0.353,805,538
0.361,805,538
0.369,805,538
0.377,805,538
0.386,805,538
0.394,805,538
0.402,805,538
0.411,805,538
0.419,805,538
0.427,805,538
0.435,805,538
0.443,805,538
0.452,805,538
0.460,805,538
0.468,805,538
0.476,805,538
0.485,805,538
0.493,805,538
0.501,805,538
0.510,805,538
0.519,805,538
0.527,805,538
0.535,805,538
0.543,805,538
0.552,805,538
0.560,805,538
0.568,805,538
0.577,805,538
0.585,805,538
0.593,805,538
0.602,805,538
0.610,805,538
0.618,805,538
0.627,805,538
0.635,805,538
0.643,805,538
0.651,805,538
0.660,805,538
0.668,805,538
0.677,805,538
0.685,805,538
0.693,805,538
0.702,805,538
0.710,805,538
0.719,805,538
0.727,805,538
0.735,805,538
0.744,805,538
0.752,805,538
0.760,805,538
0.768,805,538
0.777,805,538
0.785,805,538
0.793,805,538
0.802,805,538
0.810,805,538
0.818,805,538
0.827,805,538
0.835,805,538
0.843,805,538
0.852,805,538
0.860,805,538
0.868,805,538
0.877,805,538
0.885,805,538
0.893,805,538
0.902,805,538
0.910,805,538
0.918,805,538
0.926,805,538
0.934,805,538
0.943,805,538
0.952,805,538
0.960,805,538
0.969,805,538
0.977,805,538
0.985,805,538
0.993,805,538
1.002,805,538
1.010,805,538
1.019,805,538
1.027,805,538
1.035,805,538
1.044,805,538
1.052,805,538
1.060,805,538
1.068,805,538
1.077,805,537
1.085,804,542
1.093,801,549
1.101,796,559
1.110,785,578
1.118,785,578
1.126,779,586
1.135,773,595
1.143,765,604
1.152,749,617
1.160,745,619
1.169,737,627
1.177,731,629
1.186,731,629
1.194,713,635
1.203,699,637
1.211,687,639
1.219,677,642
1.227,661,644
1.236,635,647
1.244,609,650
1.253,586,653
1.261,568,655
1.270,555,657
1.278,544,657
1.286,539,657
1.295,533,653
1.303,525,649
1.312,523,646
1.320,519,640
1.329,517,634
1.337,513,628
1.345,510,625
1.353,510,623
1.362,509,618
1.370,509,613
1.378,509,609
1.386,507,601
1.395,507,593
1.403,507,587
1.412,505,581
1.420,504,573
1.429,504,565
1.437,502,560
1.445,502,549
1.453,502,544
1.462,502,537
1.470,502,529
1.478,502,523
1.487,502,519
1.495,502,512
1.503,502,504
1.512,504,497
1.521,507,488
1.529,511,483
1.537,512,478
1.545,517,469
1.554,521,465
1.562,524,460
1.571,532,452
1.579,536,446
1.588,545,432
1.596,545,432
1.604,553,424
1.613,559,418
1.621,567,410
1.629,577,403
1.638,596,391
1.646,607,385
1.654,617,381
1.663,617,381
1.671,625,375
1.679,633,371
1.688,645,366
1.696,651,363
1.705,660,361
1.714,669,360
1.722,680,355
1.730,691,353
1.738,703,352
1.746,711,349
1.755,721,349
1.763,731,349
1.771,742,349
1.780,753,349
1.788,762,349
1.797,771,351
1.805,781,355
1.813,791,359
1.822,799,363
1.830,807,368
1.838,812,373
1.846,818,379
1.855,822,387
1.863,829,399
1.872,833,412
1.880,841,425
1.888,844,432
1.896,849,443
1.905,855,457
1.913,859,469
1.921,864,479
1.929,869,491
1.938,875,502
1.946,879,511
1.955,884,520
1.963,889,530
1.971,895,539
1.979,899,551
1.988,903,563
1.996,908,574
2.004,911,583
2.012,913,591
2.021,915,595
2.029,915,598
2.037,917,603
2.045,917,603
2.053,918,605
2.062,919,609
2.071,920,611
2.079,923,613
2.088,923,614
2.096,924,617
2.104,925,617
2.112,925,617
2.121,925,617
2.129,925,617
2.137,925,617
2.146,925,617
2.154,925,617
2.162,925,617
2.171,929,617
2.179,933,614
2.187,940,612
2.195,947,611
2.203,956,610
2.212,971,609
2.221,977,609
2.230,979,609
2.238,983,609
2.246,985,609
2.255,985,609
2.263,985,609
2.272,985,609
2.280,985,609
2.288,985,609
2.296,985,609
2.305,985,609
2.313,985,609
2.321,985,609
2.330,985,609
2.339,985,609
2.347,985,609
2.355,985,609
2.363,985,609
2.372,985,609
2.381,985,609
2.390,985,609
2.398,985,609
2.406,985,609
2.415,985,609
2.423,985,609
2.431,985,609
2.439,985,609
2.447,985,609
2.456,985,609
2.464,985,609
2.473,985,609
2.481,985,609
2.490,985,609
2.498,987,609
2.507,990,607
2.515,994,605
2.523,1001,603
2.531,1007,601
2.540,1013,599
2.549,1019,597
2.557,1023,596
2.565,1031,594
2.573,1038,592
2.582,1045,589
2.590,1053,587
2.599,1059,585
2.607,1065,585
2.615,1066,584
2.623,1069,581
2.632,1070,581
2.640,1071,581
2.649,1071,581
2.657,1071,581
2.665,1071,581
2.674,1071,581
2.683,1071,581
2.691,1071,581
2.699,1071,581
2.708,1071,581
2.716,1071,581
2.724,1071,581
2.733,1071,581
2.741,1071,581
2.749,1071,581
2.758,1071,581
2.766,1071,581
2.774,1071,581
2.783,1071,581
2.791,1071,581
2.799,1071,581
2.808,1071,581
2.816,1071,581
2.824,1071,581
2.833,1071,581
2.842,1071,581
2.850,1071,581
2.858,1071,581
2.867,1069,581
2.875,1067,581
2.883,1064,582
2.891,1061,582
2.899,1057,582
2.908,1045,585
2.917,1034,588
2.925,1026,589
2.933,1009,591
2.941,991,594
2.950,974,595
2.958,959,596
2.967,946,598
2.975,933,599
2.983,921,601
2.991,909,603
3.000,897,604
3.008,885,605
3.017,873,606
3.025,859,608
3.034,841,609
3.042,828,611
3.050,809,613
3.059,765,615
3.067,748,615
3.075,734,615
3.084,722,615
3.092,710,615
3.101,699,615
3.109,689,617
3.117,680,618
3.125,672,618
3.134,664,618
3.142,659,618
3.150,652,618
3.158,644,618
3.167,639,618
3.175,632,618
3.184,629,619
3.192,629,619
3.200,627,620
3.209,627,620
3.217,627,620
3.225,627,620
3.234,627,620
3.242,627,620
3.250,627,620
3.259,627,620
3.267,627,620
3.275,627,620
3.284,627,620
3.292,627,620
3.300,627,620
3.308,627,620
3.317,627,620
3.325,627,620
3.334,627,620
3.342,626,620
3.350,622,620
3.359,614,620
3.367,607,619
3.376,597,619
3.384,588,619
3.393,577,619
3.401,565,616
3.409,557,615
3.417,551,615
3.426,543,612
3.434,536,610
3.443,528,608
3.451,522,605
3.459,513,604
3.468,505,601
3.476,501,600
3.484,495,598
3.493,490,597
3.501,487,597
3.510,483,595
3.518,478,593
3.526,475,593
3.534,473,592
3.543,467,592
3.552,465,591
3.560,465,591
3.568,465,591
3.577,465,591
3.585,465,591
3.593,465,591
3.602,465,591
3.610,465,591
3.619,465,591
3.627,465,591
3.635,464,589
3.644,463,588
3.652,462,587
3.660,461,587
3.668,461,586
3.677,461,586
3.685,461,586
3.693,461,586
3.702,461,586
3.710,461,586
3.719,461,586
3.727,461,586
3.736,461,586
3.744,461,586
3.753,461,586
3.762,461,586
3.770,461,586
3.779,461,586
3.787,461,586
3.795,461,586
3.804,461,586
3.812,461,586
3.821,460,585
3.829,457,583
3.837,455,579
3.846,452,577
3.854,449,573
3.863,448,571
3.871,447,570
3.879,446,567
3.888,445,565
3.896,443,563
3.905,443,559
3.913,442,556
3.921,442,553
3.930,440,547
3.938,440,543
3.946,440,538
3.954,437,531
3.963,436,524
3.971,436,517
3.979,435,509
3.987,435,505
3.996,435,498
4.004,435,491
4.013,435,488
4.021,435,484
4.030,435,481
4.038,435,479
4.046,435,479
4.055,435,477
4.063,435,476
4.072,435,471
4.080,435,469
4.089,435,465
4.097,435,457
4.105,435,453
4.114,435,445
4.122,435,437
4.130,435,431
4.138,435,429
4.146,435,429
4.154,435,427
4.163,435,427
4.171,435,427
4.180,435,427
4.188,435,427
4.196,435,427
4.204,435,427
4.212,435,427
4.220,435,427
4.229,435,427
4.237,435,427
4.245,435,427
