time,x,y,dx,dy,speed,dt
1761282800.0,1318.0,743.0,-16.0,0.0,16.0,0.001
1761282800.0,1302.0,743.0,-16.0,0.0,16.0,0.001
1761282800.0,1272.0,743.0,-30.0,0.0,30.0,0.001
1761282800.0,1256.0,743.0,-16.0,0.0,16.0,0.001
1761282800.0,1239.0,743.0,-17.0,0.0,17.0,0.001
1761282800.0,1225.0,743.0,-14.0,0.0,14.0,0.001
1761282800.0,1185.0,743.0,-40.0,0.0,40.0,0.001
1761282800.0,1161.0,743.0,-24.0,0.0,24.0,0.001
1761282800.0,1136.0,743.0,-25.0,0.0,25.0,0.001
1761282800.0,1086.0,743.0,-50.0,0.0,50.0,0.001
1761282800.0,1062.0,743.0,-24.0,0.0,24.0,0.001
1761282800.0,1040.0,743.0,-22.0,0.0,22.0,0.001
1761282800.0,996.0,743.0,-44.0,0.0,44.0,0.001
1761282800.0,978.0,743.0,-18.0,0.0,18.0,0.001
1761282800.0,964.0,743.0,-14.0,0.0,14.0,0.001
1761282800.0,958.0,743.0,-6.0,0.0,6.0,0.001
1761282800.0,947.0,743.0,-11.0,0.0,11.0,0.001
1761282800.0,943.0,743.0,-4.0,0.0,4.0,0.001
1761282800.0,940.0,743.0,-3.0,0.0,3.0,0.001
1761282800.0,935.0,743.0,-5.0,0.0,5.0,0.001
1761282800.0,931.0,743.0,-4.0,0.0,4.0,0.001
1761282800.0,929.0,743.0,-2.0,0.0,2.0,0.001
1761282800.0,928.0,743.0,-1.0,0.0,1.0,0.001
1761282800.0,928.0,743.0,0.0,0.0,0.0,0.001
1761282800.0,928.0,743.0,0.0,0.0,0.0,0.001
1761282800.0,928.0,743.0,0.0,0.0,0.0,0.001
1761282800.0,926.0,743.0,-2.0,0.0,2.0,0.001
1761282800.0,913.0,743.0,-13.0,0.0,13.0,0.001
1761282800.0,903.0,744.0,-10.0,1.0,10.049875,0.001
1761282800.0,889.0,746.0,-14.0,2.0,14.142136,0.001
1761282800.0,859.0,747.0,-30.0,1.0,30.016663,0.001
1761282800.0,844.0,751.0,-15.0,4.0,15.524175,0.001
1761282800.0,828.0,752.0,-16.0,1.0,16.03122,0.001
1761282800.0,821.0,753.0,-7.0,1.0,7.071068,0.001
1761282800.0,815.0,753.0,-6.0,0.0,6.0,0.001
1761282800.0,804.0,756.0,-11.0,3.0,11.401754,0.001
1761282800.0,799.0,756.0,-5.0,0.0,5.0,0.001
1761282800.0,795.0,756.0,-4.0,0.0,4.0,0.001
1761282800.0,784.0,757.0,-11.0,1.0,11.045361,0.001
1761282800.0,784.0,757.0,0.0,0.0,0.0,0.001
1761282800.0,783.0,757.0,-1.0,0.0,1.0,0.001
1761282800.0,783.0,757.0,0.0,0.0,0.0,0.001
1761282800.0,783.0,757.0,0.0,0.0,0.0,0.001
1761282800.0,783.0,757.0,0.0,0.0,0.0,0.001
1761282800.0,783.0,757.0,0.0,0.0,0.0,0.001
1761282800.0,783.0,757.0,0.0,0.0,0.0,0.001
1761282800.0,783.0,757.0,0.0,0.0,0.0,0.001
1761282800.0,783.0,757.0,0.0,0.0,0.0,0.001
1761282800.0,783.0,757.0,0.0,0.0,0.0,0.001
1761282800.0,783.0,757.0,0.0,0.0,0.0,0.001
1761282800.0,783.0,757.0,0.0,0.0,0.0,0.001
1761282800.0,783.0,757.0,0.0,0.0,0.0,0.001
1761282800.0,783.0,757.0,0.0,0.0,0.0,0.001
1761282800.0,783.0,757.0,0.0,0.0,0.0,0.001
1761282800.0,783.0,757.0,0.0,0.0,0.0,0.001
1761282800.0,783.0,757.0,0.0,0.0,0.0,0.001
1761282800.0,783.0,757.0,0.0,0.0,0.0,0.001
1761282800.0,783.0,757.0,0.0,0.0,0.0,0.001
1761282800.0,783.0,757.0,0.0,0.0,0.0,0.001
1761282800.0,783.0,757.0,0.0,0.0,0.0,0.001
1761282800.0,783.0,757.0,0.0,0.0,0.0,0.001
1761282800.0,783.0,757.0,0.0,0.0,0.0,0.001
1761282800.0,783.0,757.0,0.0,0.0,0.0,0.001
1761282800.0,783.0,757.0,0.0,0.0,0.0,0.001
1761282800.0,783.0,757.0,0.0,0.0,0.0,0.001
